item_id,name,category,style,price,color
1,Modern Sofa,sofa,modern,800,gray
2,Wood Coffee Table,table,scandinavian,300,brown
3,Minimalist Lamp,lamp,minimalist,150,white
4,Classic Armchair,chair,classic,600,beige
5,Modern TV Stand,storage,modern,400,black
6,Furniture Item 6,sofa,modern,400,green
7,Furniture Item 7,table,minimalist,450,natural
8,Furniture Item 8,lamp,classic,500,white
9,Furniture Item 9,chair,scandinavian,550,black
10,Furniture Item 10,storage,industrial,600,gray
11,Furniture Item 11,bed,contemporary,650,brown
12,Furniture Item 12,sofa,modern,700,beige
13,Furniture Item 13,table,minimalist,750,blue
14,Furniture Item 14,lamp,classic,800,green
15,Furniture Item 15,chair,scandinavian,850,natural
16,Furniture Item 16,storage,industrial,900,white
17,Furniture Item 17,bed,contemporary,950,black
18,Furniture Item 18,sofa,modern,1000,gray
19,Furniture Item 19,table,minimalist,1050,brown
20,Furniture Item 20,lamp,classic,100,beige
21,Furniture Item 21,chair,scandinavian,150,blue
22,Furniture Item 22,storage,industrial,200,green
23,Furniture Item 23,bed,contemporary,250,natural
24,Furniture Item 24,sofa,modern,300,white
25,Furniture Item 25,table,minimalist,350,black
26,Furniture Item 26,lamp,classic,400,gray
27,Furniture Item 27,chair,scandinavian,450,brown
28,Furniture Item 28,storage,industrial,500,beige
29,Furniture Item 29,bed,contemporary,550,blue
30,Furniture Item 30,sofa,modern,600,green
31,Furniture Item 31,table,minimalist,650,natural
32,Furniture Item 32,lamp,classic,700,white
33,Furniture Item 33,chair,scandinavian,750,black
34,Furniture Item 34,storage,industrial,800,gray
35,Furniture Item 35,bed,contemporary,850,brown
36,Furniture Item 36,sofa,modern,900,beige
37,Furniture Item 37,table,minimalist,950,blue
38,Furniture Item 38,lamp,classic,1000,green
39,Furniture Item 39,chair,scandinavian,1050,natural
40,Furniture Item 40,storage,industrial,100,white
41,Furniture Item 41,bed,contemporary,150,black
42,Furniture Item 42,sofa,modern,200,gray
43,Furniture Item 43,table,minimalist,250,brown
44,Furniture Item 44,lamp,classic,300,beige
45,Furniture Item 45,chair,scandinavian,350,blue
46,Furniture Item 46,storage,industrial,400,green
47,Furniture Item 47,bed,contemporary,450,natural
48,Furniture Item 48,sofa,modern,500,white
49,Furniture Item 49,table,minimalist,550,black
50,Furniture Item 50,lamp,classic,600,gray
51,Furniture Item 51,chair,scandinavian,650,brown
52,Furniture Item 52,storage,industrial,700,beige
53,Furniture Item 53,bed,contemporary,750,blue
54,Furniture Item 54,sofa,modern,800,green
55,Furniture Item 55,table,minimalist,850,natural
56,Furniture Item 56,lamp,classic,900,white
57,Furniture Item 57,chair,scandinavian,950,black
58,Furniture Item 58,storage,industrial,1000,gray
59,Furniture Item 59,bed,contemporary,1050,brown
60,Furniture Item 60,sofa,modern,100,beige
61,Furniture Item 61,table,minimalist,150,blue
62,Furniture Item 62,lamp,classic,200,green
63,Furniture Item 63,chair,scandinavian,250,natural
64,Furniture Item 64,storage,industrial,300,white
65,Furniture Item 65,bed,contemporary,350,black
66,Furniture Item 66,sofa,modern,400,gray
67,Furniture Item 67,table,minimalist,450,brown
68,Furniture Item 68,lamp,classic,500,beige
69,Furniture Item 69,chair,scandinavian,550,blue
70,Furniture Item 70,storage,industrial,600,green
71,Furniture Item 71,bed,contemporary,650,natural
72,Furniture Item 72,sofa,modern,700,white
73,Furniture Item 73,table,minimalist,750,black
74,Furniture Item 74,lamp,classic,800,gray
75,Furniture Item 75,chair,scandinavian,850,brown
76,Furniture Item 76,storage,industrial,900,beige
77,Furniture Item 77,bed,contemporary,950,blue
78,Furniture Item 78,sofa,modern,1000,green
79,Furniture Item 79,table,minimalist,1050,natural
80,Furniture Item 80,lamp,classic,100,white
81,Furniture Item 81,chair,scandinavian,150,black
82,Furniture Item 82,storage,industrial,200,gray
83,Furniture Item 83,bed,contemporary,250,brown
84,Furniture Item 84,sofa,modern,300,beige
85,Furniture Item 85,table,minimalist,350,blue
86,Furniture Item 86,lamp,classic,400,green
87,Furniture Item 87,chair,scandinavian,450,natural
88,Furniture Item 88,storage,industrial,500,white
89,Furniture Item 89,bed,contemporary,550,black
90,Furniture Item 90,sofa,modern,600,gray
91,Furniture Item 91,table,minimalist,650,brown
92,Furniture Item 92,lamp,classic,700,beige
93,Furniture Item 93,chair,scandinavian,750,blue
94,Furniture Item 94,storage,industrial,800,green
95,Furniture Item 95,bed,contemporary,850,natural
96,Furniture Item 96,sofa,modern,900,white
97,Furniture Item 97,table,minimalist,950,black
98,Furniture Item 98,lamp,classic,1000,gray
99,Furniture Item 99,chair,scandinavian,1050,brown
100,Furniture Item 100,storage,industrial,100,beige
101,Furniture Item 101,bed,contemporary,150,blue
102,Furniture Item 102,sofa,modern,200,green
103,Furniture Item 103,table,minimalist,250,natural
104,Furniture Item 104,lamp,classic,300,white
105,Furniture Item 105,chair,scandinavian,350,black
106,Furniture Item 106,storage,industrial,400,gray
107,Furniture Item 107,bed,contemporary,450,brown
108,Furniture Item 108,sofa,modern,500,beige
109,Furniture Item 109,table,minimalist,550,blue
110,Furniture Item 110,lamp,classic,600,green
111,Furniture Item 111,chair,scandinavian,650,natural
112,Furniture Item 112,storage,industrial,700,white
113,Furniture Item 113,bed,contemporary,750,black
114,Furniture Item 114,sofa,modern,800,gray
115,Furniture Item 115,table,minimalist,850,brown
116,Furniture Item 116,lamp,classic,900,beige
117,Furniture Item 117,chair,scandinavian,950,blue
118,Furniture Item 118,storage,industrial,1000,green
119,Furniture Item 119,bed,contemporary,1050,natural
120,Furniture Item 120,sofa,modern,100,white
121,Furniture Item 121,table,minimalist,150,black
122,Furniture Item 122,lamp,classic,200,gray
123,Furniture Item 123,chair,scandinavian,250,brown
124,Furniture Item 124,storage,industrial,300,beige
125,Furniture Item 125,bed,contemporary,350,blue
126,Furniture Item 126,sofa,modern,400,green
127,Furniture Item 127,table,minimalist,450,natural
128,Furniture Item 128,lamp,classic,500,white
129,Furniture Item 129,chair,scandinavian,550,black
130,Furniture Item 130,storage,industrial,600,gray
131,Furniture Item 131,bed,contemporary,650,brown
132,Furniture Item 132,sofa,modern,700,beige
133,Furniture Item 133,table,minimalist,750,blue
134,Furniture Item 134,lamp,classic,800,green
135,Furniture Item 135,chair,scandinavian,850,natural
136,Furniture Item 136,storage,industrial,900,white
137,Furniture Item 137,bed,contemporary,950,black
138,Furniture Item 138,sofa,modern,1000,gray
139,Furniture Item 139,table,minimalist,1050,brown
140,Furniture Item 140,lamp,classic,100,beige
141,Furniture Item 141,chair,scandinavian,150,blue
142,Furniture Item 142,storage,industrial,200,green
143,Furniture Item 143,bed,contemporary,250,natural
144,Furniture Item 144,sofa,modern,300,white
145,Furniture Item 145,table,minimalist,350,black
146,Furniture Item 146,lamp,classic,400,gray
147,Furniture Item 147,chair,scandinavian,450,brown
148,Furniture Item 148,storage,industrial,500,beige
149,Furniture Item 149,bed,contemporary,550,blue
150,Furniture Item 150,sofa,modern,600,green
151,Furniture Item 151,table,minimalist,650,natural
152,Furniture Item 152,lamp,classic,700,white
153,Furniture Item 153,chair,scandinavian,750,black
154,Furniture Item 154,storage,industrial,800,gray
155,Furniture Item 155,bed,contemporary,850,brown
156,Furniture Item 156,sofa,modern,900,beige
157,Furniture Item 157,table,minimalist,950,blue
158,Furniture Item 158,lamp,classic,1000,green
159,Furniture Item 159,chair,scandinavian,1050,natural
160,Furniture Item 160,storage,industrial,100,white
161,Furniture Item 161,bed,contemporary,150,black
162,Furniture Item 162,sofa,modern,200,gray
163,Furniture Item 163,table,minimalist,250,brown
164,Furniture Item 164,lamp,classic,300,beige
165,Furniture Item 165,chair,scandinavian,350,blue
166,Furniture Item 166,storage,industrial,400,green
167,Furniture Item 167,bed,contemporary,450,natural
168,Furniture Item 168,sofa,modern,500,white
169,Furniture Item 169,table,minimalist,550,black
170,Furniture Item 170,lamp,classic,600,gray
171,Furniture Item 171,chair,scandinavian,650,brown
172,Furniture Item 172,storage,industrial,700,beige
173,Furniture Item 173,bed,contemporary,750,blue
174,Furniture Item 174,sofa,modern,800,green
175,Furniture Item 175,table,minimalist,850,natural
176,Furniture Item 176,lamp,classic,900,white
177,Furniture Item 177,chair,scandinavian,950,black
178,Furniture Item 178,storage,industrial,1000,gray
179,Furniture Item 179,bed,contemporary,1050,brown
180,Furniture Item 180,sofa,modern,100,beige
181,Furniture Item 181,table,minimalist,150,blue
182,Furniture Item 182,lamp,classic,200,green
183,Furniture Item 183,chair,scandinavian,250,natural
184,Furniture Item 184,storage,industrial,300,white
185,Furniture Item 185,bed,contemporary,350,black
186,Furniture Item 186,sofa,modern,400,gray
187,Furniture Item 187,table,minimalist,450,brown
188,Furniture Item 188,lamp,classic,500,beige
189,Furniture Item 189,chair,scandinavian,550,blue
190,Furniture Item 190,storage,industrial,600,green
191,Furniture Item 191,bed,contemporary,650,natural
192,Furniture Item 192,sofa,modern,700,white
193,Furniture Item 193,table,minimalist,750,black
194,Furniture Item 194,lamp,classic,800,gray
195,Furniture Item 195,chair,scandinavian,850,brown
196,Furniture Item 196,storage,industrial,900,beige
197,Furniture Item 197,bed,contemporary,950,blue
198,Furniture Item 198,sofa,modern,1000,green
199,Furniture Item 199,table,minimalist,1050,natural
200,Furniture Item 200,lamp,classic,100,white
201,Furniture Item 201,chair,scandinavian,150,black
202,Furniture Item 202,storage,industrial,200,gray
203,Furniture Item 203,bed,contemporary,250,brown
204,Furniture Item 204,sofa,modern,300,beige
205,Furniture Item 205,table,minimalist,350,blue
